file,type,dependency,line
/home/prayojaka/Desktop/meditation_gui_updated/check_similarity3.py,Python,mediapipe,import mediapipe as mp
/home/prayojaka/Desktop/meditation_gui_updated/check_similarity3.py,Python,numpy,import numpy as np
/home/prayojaka/Desktop/meditation_gui_updated/check_similarity2.py,Python,opencv-python,import cv2
/home/prayojaka/Desktop/meditation_gui_updated/check_similarity2.py,Python,mediapipe,import mediapipe as mp
/home/prayojaka/Desktop/meditation_gui_updated/check_similarity2.py,Python,numpy,import numpy as np
/home/prayojaka/Desktop/meditation_gui_updated/homing.py,Python,serial,import serial
/home/prayojaka/Desktop/meditation_gui_updated/depthacquisition.py,Python,pyrealsense2,import pyrealsense2 as rs
/home/prayojaka/Desktop/meditation_gui_updated/depthacquisition.py,Python,mediapipe,import mediapipe as mp
/home/prayojaka/Desktop/meditation_gui_updated/depthacquisition.py,Python,numpy,import numpy as np
/home/prayojaka/Desktop/meditation_gui_updated/depthacquisition.py,Python,opencv-python,import cv2
/home/prayojaka/Desktop/meditation_gui_updated/depthacquisition.py,Python,paths,from paths import project_path
/home/prayojaka/Desktop/meditation_gui_updated/AutoDetect.py,Python,opencv-python,import cv2
/home/prayojaka/Desktop/meditation_gui_updated/AutoDetect.py,Python,numpy,import numpy as np
/home/prayojaka/Desktop/meditation_gui_updated/AutoDetect.py,Python,pandas,import pandas as pd
/home/prayojaka/Desktop/meditation_gui_updated/AutoDetect.py,Python,Pillow,from PIL import Image
/home/prayojaka/Desktop/meditation_gui_updated/req.py,Python,pkg_resources,import pkg_resources
/home/prayojaka/Desktop/meditation_gui_updated/Front.py,Python,opencv-python,import cv2
/home/prayojaka/Desktop/meditation_gui_updated/Front.py,Python,mediapipe,import mediapipe as mp
/home/prayojaka/Desktop/meditation_gui_updated/Front.py,Python,numpy,import numpy as np
/home/prayojaka/Desktop/meditation_gui_updated/Front.py,Python,pyautogui,import pyautogui
/home/prayojaka/Desktop/meditation_gui_updated/Front.py,Python,paths,from paths import project_path
/home/prayojaka/Desktop/meditation_gui_updated/check_similarity8.py,Python,opencv-python,import cv2
/home/prayojaka/Desktop/meditation_gui_updated/check_similarity8.py,Python,mediapipe,import mediapipe as mp
/home/prayojaka/Desktop/meditation_gui_updated/check_similarity8.py,Python,numpy,import numpy as np
/home/prayojaka/Desktop/meditation_gui_updated/cameraIndex.py,Python,opencv-python,import cv2
/home/prayojaka/Desktop/meditation_gui_updated/camera_calibration.py,Python,opencv-python,import cv2
/home/prayojaka/Desktop/meditation_gui_updated/camera_calibration.py,Python,numpy,import numpy as np
/home/prayojaka/Desktop/meditation_gui_updated/calculations.py,Python,opencv-python,import cv2
/home/prayojaka/Desktop/meditation_gui_updated/calculations.py,Python,mediapipe,import mediapipe as mp
/home/prayojaka/Desktop/meditation_gui_updated/calculations.py,Python,numpy,import numpy as np
/home/prayojaka/Desktop/meditation_gui_updated/5M.py,Python,opencv-python,import cv2
/home/prayojaka/Desktop/meditation_gui_updated/5M.py,Python,paths,from paths import project_path
/home/prayojaka/Desktop/meditation_gui_updated/termination_code.py,Python,opencv-python,import cv2
/home/prayojaka/Desktop/meditation_gui_updated/termination_code.py,Python,mediapipe,import mediapipe as mp
/home/prayojaka/Desktop/meditation_gui_updated/termination_code.py,Python,mediapipe,from mediapipe.tasks import python
/home/prayojaka/Desktop/meditation_gui_updated/termination_code.py,Python,mediapipe,from mediapipe.tasks.python import vision
/home/prayojaka/Desktop/meditation_gui_updated/termination_code.py,Python,serial,import serial
/home/prayojaka/Desktop/meditation_gui_updated/termination_code.py,Python,numpy,import numpy as np
/home/prayojaka/Desktop/meditation_gui_updated/termination_code.py,Python,scikit-learn,from sklearn.metrics.pairwise import cosine_similarity
/home/prayojaka/Desktop/meditation_gui_updated/check_similarity1.py,Python,opencv-python,import cv2
/home/prayojaka/Desktop/meditation_gui_updated/check_similarity1.py,Python,mediapipe,import mediapipe as mp
/home/prayojaka/Desktop/meditation_gui_updated/check_similarity1.py,Python,numpy,import numpy as np
/home/prayojaka/Desktop/meditation_gui_updated/all_cameras_integration.py,Python,opencv-python,import cv2
/home/prayojaka/Desktop/meditation_gui_updated/all_cameras_integration.py,Python,mediapipe,import mediapipe as mp
/home/prayojaka/Desktop/meditation_gui_updated/all_cameras_integration.py,Python,pyrealsense2,import pyrealsense2 as rs
/home/prayojaka/Desktop/meditation_gui_updated/all_cameras_integration.py,Python,numpy,import numpy as np
/home/prayojaka/Desktop/meditation_gui_updated/depth.py,Python,pyrealsense2,import pyrealsense2 as rs
/home/prayojaka/Desktop/meditation_gui_updated/depth.py,Python,numpy,import numpy as np
/home/prayojaka/Desktop/meditation_gui_updated/depth.py,Python,opencv-python,import cv2
/home/prayojaka/Desktop/meditation_gui_updated/depth.py,Python,mediapipe,import mediapipe as mp
/home/prayojaka/Desktop/meditation_gui_updated/splitGaze.py,Python,opencv-python,import cv2
/home/prayojaka/Desktop/meditation_gui_updated/splitGaze.py,Python,numpy,import numpy as np
/home/prayojaka/Desktop/meditation_gui_updated/splitGaze.py,Python,mediapipe,import mediapipe as mp
/home/prayojaka/Desktop/meditation_gui_updated/splitGaze.py,Python,pyrealsense2,import pyrealsense2 as rs
/home/prayojaka/Desktop/meditation_gui_updated/splitGaze.py,Python,paths,from paths import project_path
/home/prayojaka/Desktop/meditation_gui_updated/visual_test6.py,Python,opencv-python,import cv2
/home/prayojaka/Desktop/meditation_gui_updated/visual_test6.py,Python,numpy,import numpy as np
/home/prayojaka/Desktop/meditation_gui_updated/visual_test6.py,Python,mediapipe,import mediapipe as mp
/home/prayojaka/Desktop/meditation_gui_updated/visual_test6.py,Python,paths,from paths import project_path
/home/prayojaka/Desktop/meditation_gui_updated/Radar_Animation_2.py,Python,pandas,import pandas as pd
/home/prayojaka/Desktop/meditation_gui_updated/Radar_Animation_2.py,Python,pandas,from pandas import read_csv
/home/prayojaka/Desktop/meditation_gui_updated/Radar_Animation_2.py,Python,matplotlib,import matplotlib.pyplot as plt
/home/prayojaka/Desktop/meditation_gui_updated/Radar_Animation_2.py,Python,matplotlib,from matplotlib.animation import FuncAnimation
/home/prayojaka/Desktop/meditation_gui_updated/Radar_Animation_2.py,Python,numpy,import numpy as np
/home/prayojaka/Desktop/meditation_gui_updated/Radar_Acquire_NT.py,Python,numpy,import numpy as np
/home/prayojaka/Desktop/meditation_gui_updated/Radar_Acquire_NT.py,Python,numpy,import numpy.matlib
/home/prayojaka/Desktop/meditation_gui_updated/Radar_Acquire_NT.py,Python,serial,import serial
/home/prayojaka/Desktop/meditation_gui_updated/Radar_Acquire_NT.py,Python,mmWave,from mmWave import vitalsign
/home/prayojaka/Desktop/meditation_gui_updated/Radar_Acquire_NT.py,Python,struct,import struct
/home/prayojaka/Desktop/meditation_gui_updated/Radar_Acquire_NT.py,Python,signal,from signal import pause
/home/prayojaka/Desktop/meditation_gui_updated/Radar_Acquire_NT.py,Python,serial,from serial import Serial
/home/prayojaka/Desktop/meditation_gui_updated/depthex.py,Python,pyrealsense2,import pyrealsense2 as rs
/home/prayojaka/Desktop/meditation_gui_updated/depthex.py,Python,mediapipe,import mediapipe as mp
/home/prayojaka/Desktop/meditation_gui_updated/depthex.py,Python,numpy,import numpy as np
/home/prayojaka/Desktop/meditation_gui_updated/depthex.py,Python,opencv-python,import cv2
/home/prayojaka/Desktop/meditation_gui_updated/app.py,Python,flask,"from flask import Flask, jsonify, render_template, request, redirect, url_for, flash, session"
/home/prayojaka/Desktop/meditation_gui_updated/app.py,Python,werkzeug,"from werkzeug.security import generate_password_hash, check_password_hash"
/home/prayojaka/Desktop/meditation_gui_updated/app.py,Python,paths,"from paths import BASE_DIR, project_path"
/home/prayojaka/Desktop/meditation_gui_updated/visual_test4.py,Python,opencv-python,import cv2
/home/prayojaka/Desktop/meditation_gui_updated/visual_test4.py,Python,numpy,import numpy as np
/home/prayojaka/Desktop/meditation_gui_updated/visual_test4.py,Python,mediapipe,import mediapipe as mp
/home/prayojaka/Desktop/meditation_gui_updated/depth1.py,Python,pyrealsense2,import pyrealsense2 as rs
/home/prayojaka/Desktop/meditation_gui_updated/depth1.py,Python,mediapipe,import mediapipe as mp
/home/prayojaka/Desktop/meditation_gui_updated/depth1.py,Python,numpy,import numpy as np
/home/prayojaka/Desktop/meditation_gui_updated/depth1.py,Python,opencv-python,import cv2
/home/prayojaka/Desktop/meditation_gui_updated/all_checking.py,Python,tkinter,import tkinter as tk
/home/prayojaka/Desktop/meditation_gui_updated/check_similarityUpdated.py,Python,opencv-python,import cv2
/home/prayojaka/Desktop/meditation_gui_updated/check_similarityUpdated.py,Python,mediapipe,import mediapipe as mp
/home/prayojaka/Desktop/meditation_gui_updated/check_similarityUpdated.py,Python,numpy,import numpy as np
/home/prayojaka/Desktop/meditation_gui_updated/motor_movement_and_com_with_CC.py,Python,opencv-python,import cv2
/home/prayojaka/Desktop/meditation_gui_updated/motor_movement_and_com_with_CC.py,Python,mediapipe,import mediapipe as mp
/home/prayojaka/Desktop/meditation_gui_updated/motor_movement_and_com_with_CC.py,Python,mediapipe,from mediapipe.tasks import python
/home/prayojaka/Desktop/meditation_gui_updated/motor_movement_and_com_with_CC.py,Python,mediapipe,from mediapipe.tasks.python import vision
/home/prayojaka/Desktop/meditation_gui_updated/motor_movement_and_com_with_CC.py,Python,serial,import serial
/home/prayojaka/Desktop/meditation_gui_updated/motor_movement_and_com_with_CC.py,Python,numpy,import numpy as np
/home/prayojaka/Desktop/meditation_gui_updated/motor_movement_and_com_with_CC.py,Python,scikit-learn,from sklearn.metrics.pairwise import cosine_similarity
/home/prayojaka/Desktop/meditation_gui_updated/PupilTrack.py,Python,opencv-python,import cv2
/home/prayojaka/Desktop/meditation_gui_updated/PupilTrack.py,Python,gaze_tracking,from gaze_tracking import GazeTracking
/home/prayojaka/Desktop/meditation_gui_updated/checkvisual2.sh,Bash,python3,python3 visual_test4.py
/home/prayojaka/Desktop/meditation_gui_updated/checkvisual1.sh,Bash,python3,python3 check_similarity.py
/home/prayojaka/Desktop/meditation_gui_updated/depth2.py,Python,pyrealsense2,import pyrealsense2 as rs
/home/prayojaka/Desktop/meditation_gui_updated/depth2.py,Python,mediapipe,import mediapipe as mp
/home/prayojaka/Desktop/meditation_gui_updated/depth2.py,Python,numpy,import numpy as np
/home/prayojaka/Desktop/meditation_gui_updated/depth2.py,Python,opencv-python,import cv2
/home/prayojaka/Desktop/meditation_gui_updated/termination_time.py,Python,opencv-python,import cv2
/home/prayojaka/Desktop/meditation_gui_updated/termination_time.py,Python,mediapipe,import mediapipe as mp
/home/prayojaka/Desktop/meditation_gui_updated/termination_time.py,Python,mediapipe,from mediapipe.tasks import python
/home/prayojaka/Desktop/meditation_gui_updated/termination_time.py,Python,mediapipe,from mediapipe.tasks.python import vision
/home/prayojaka/Desktop/meditation_gui_updated/termination_time.py,Python,serial,import serial
/home/prayojaka/Desktop/meditation_gui_updated/termination_time.py,Python,numpy,import numpy as np
/home/prayojaka/Desktop/meditation_gui_updated/termination_time.py,Python,scikit-learn,from sklearn.metrics.pairwise import cosine_similarity
/home/prayojaka/Desktop/meditation_gui_updated/scoring_prototype.py,Python,opencv-python,import cv2
/home/prayojaka/Desktop/meditation_gui_updated/scoring_prototype.py,Python,mediapipe,import mediapipe as mp
/home/prayojaka/Desktop/meditation_gui_updated/scoring_prototype.py,Python,numpy,import numpy as np
/home/prayojaka/Desktop/meditation_gui_updated/t3.py,Python,opencv-python,import cv2
/home/prayojaka/Desktop/meditation_gui_updated/t3.py,Python,fpdf,from fpdf import FPDF
/home/prayojaka/Desktop/meditation_gui_updated/t3.py,Python,paths,from paths import project_path
/home/prayojaka/Desktop/meditation_gui_updated/check_similarity4.py,Python,opencv-python,import cv2
/home/prayojaka/Desktop/meditation_gui_updated/check_similarity4.py,Python,mediapipe,import mediapipe as mp
/home/prayojaka/Desktop/meditation_gui_updated/check_similarity4.py,Python,numpy,import numpy as np
/home/prayojaka/Desktop/meditation_gui_updated/check_similarity4.py,Python,paths,from paths import project_path
/home/prayojaka/Desktop/meditation_gui_updated/temp.py,Python,opencv-python,import cv2 as cv  # Import the OpenCV library
/home/prayojaka/Desktop/meditation_gui_updated/run_visual_detection.sh,Bash,python3,python3 check_similarity.py
/home/prayojaka/Desktop/meditation_gui_updated/new_code.py,Python,opencv-python,import cv2
/home/prayojaka/Desktop/meditation_gui_updated/new_code.py,Python,mediapipe,import mediapipe as mp
/home/prayojaka/Desktop/meditation_gui_updated/new_code.py,Python,mediapipe,from mediapipe.tasks import python
/home/prayojaka/Desktop/meditation_gui_updated/new_code.py,Python,mediapipe,from mediapipe.tasks.python import vision
/home/prayojaka/Desktop/meditation_gui_updated/new_code.py,Python,serial,import serial
/home/prayojaka/Desktop/meditation_gui_updated/new_code.py,Python,numpy,import numpy as np
/home/prayojaka/Desktop/meditation_gui_updated/new_code.py,Python,scikit-learn,from sklearn.metrics.pairwise import cosine_similarity
/home/prayojaka/Desktop/meditation_gui_updated/ViewData.py,Python,pandas,import pandas as pd
/home/prayojaka/Desktop/meditation_gui_updated/check_cam.py,Python,ultralytics,from ultralytics import YOLO
/home/prayojaka/Desktop/meditation_gui_updated/run_all_cam.sh,Bash,python3,python3 check_visual.py
/home/prayojaka/Desktop/meditation_gui_updated/build_and_run.sh,Bash,docker,docker run --rm --device /dev/video0 \
/home/prayojaka/Desktop/meditation_gui_updated/depth/adjustment1.py,Python,opencv-python,import cv2
/home/prayojaka/Desktop/meditation_gui_updated/depth/adjustment1.py,Python,mediapipe,import mediapipe as mp
/home/prayojaka/Desktop/meditation_gui_updated/depth/adjustment1.py,Python,numpy,import numpy as np
/home/prayojaka/Desktop/meditation_gui_updated/depth/adjustment1.py,Python,pyautogui,import pyautogui
/home/prayojaka/Desktop/meditation_gui_updated/depth/splitFront.py,Python,opencv-python,import cv2
/home/prayojaka/Desktop/meditation_gui_updated/depth/splitFront.py,Python,mediapipe,import mediapipe as mp
/home/prayojaka/Desktop/meditation_gui_updated/depth/splitFront.py,Python,numpy,import numpy as np
/home/prayojaka/Desktop/meditation_gui_updated/depth/splitFront.py,Python,pyautogui,import pyautogui
/home/prayojaka/Desktop/meditation_gui_updated/depth/depth_side.py,Python,opencv-python,import cv2
/home/prayojaka/Desktop/meditation_gui_updated/depth/depth_side.py,Python,mediapipe,import mediapipe as mp
/home/prayojaka/Desktop/meditation_gui_updated/depth/depth_side.py,Python,numpy,import numpy as np
/home/prayojaka/Desktop/meditation_gui_updated/depth/depth_side.py,Python,pyrealsense2,import pyrealsense2 as rs
/home/prayojaka/Desktop/meditation_gui_updated/depth/depthacquisition.py,Python,pyrealsense2,import pyrealsense2 as rs
/home/prayojaka/Desktop/meditation_gui_updated/depth/depthacquisition.py,Python,mediapipe,import mediapipe as mp
/home/prayojaka/Desktop/meditation_gui_updated/depth/depthacquisition.py,Python,numpy,import numpy as np
/home/prayojaka/Desktop/meditation_gui_updated/depth/depthacquisition.py,Python,opencv-python,import cv2
/home/prayojaka/Desktop/meditation_gui_updated/depth/Front.py,Python,opencv-python,import cv2
/home/prayojaka/Desktop/meditation_gui_updated/depth/Front.py,Python,mediapipe,import mediapipe as mp
/home/prayojaka/Desktop/meditation_gui_updated/depth/Front.py,Python,numpy,import numpy as np
/home/prayojaka/Desktop/meditation_gui_updated/depth/Front.py,Python,pyautogui,import pyautogui
/home/prayojaka/Desktop/meditation_gui_updated/depth/splitSide.py,Python,pyrealsense2,import pyrealsense2 as rs
/home/prayojaka/Desktop/meditation_gui_updated/depth/splitSide.py,Python,mediapipe,import mediapipe as mp
/home/prayojaka/Desktop/meditation_gui_updated/depth/splitSide.py,Python,numpy,import numpy as np
/home/prayojaka/Desktop/meditation_gui_updated/depth/splitSide.py,Python,opencv-python,import cv2
/home/prayojaka/Desktop/meditation_gui_updated/depth/splitSide.py,Python,pyautogui,import pyautogui
/home/prayojaka/Desktop/meditation_gui_updated/depth/splitSide.py,Python,paths,from paths import project_path
/home/prayojaka/Desktop/meditation_gui_updated/depth/adjustment_test_updated.py,Python,opencv-python,import cv2
/home/prayojaka/Desktop/meditation_gui_updated/depth/adjustment_test_updated.py,Python,mediapipe,import mediapipe as mp
/home/prayojaka/Desktop/meditation_gui_updated/depth/adjustment_test_updated.py,Python,numpy,import numpy as np
/home/prayojaka/Desktop/meditation_gui_updated/depth/adjustment_test_updated.py,Python,pyautogui,import pyautogui
/home/prayojaka/Desktop/meditation_gui_updated/depth/adjustment_test_updated.py,Python,pyrealsense2,import pyrealsense2 as rs
/home/prayojaka/Desktop/meditation_gui_updated/depth/adjustment_test_updated.py,Python,paths,from paths import project_path
/home/prayojaka/Desktop/meditation_gui_updated/depth/depth.py,Python,pyrealsense2,import pyrealsense2 as rs
/home/prayojaka/Desktop/meditation_gui_updated/depth/depth.py,Python,numpy,import numpy as np
/home/prayojaka/Desktop/meditation_gui_updated/depth/depth.py,Python,opencv-python,import cv2
/home/prayojaka/Desktop/meditation_gui_updated/depth/depth.py,Python,mediapipe,import mediapipe as mp
/home/prayojaka/Desktop/meditation_gui_updated/depth/depthex.py,Python,pyrealsense2,import pyrealsense2 as rs
/home/prayojaka/Desktop/meditation_gui_updated/depth/depthex.py,Python,mediapipe,import mediapipe as mp
/home/prayojaka/Desktop/meditation_gui_updated/depth/depthex.py,Python,numpy,import numpy as np
/home/prayojaka/Desktop/meditation_gui_updated/depth/depthex.py,Python,opencv-python,import cv2
/home/prayojaka/Desktop/meditation_gui_updated/depth/adjustment_test.py,Python,opencv-python,import cv2
/home/prayojaka/Desktop/meditation_gui_updated/depth/adjustment_test.py,Python,mediapipe,import mediapipe as mp
/home/prayojaka/Desktop/meditation_gui_updated/depth/adjustment_test.py,Python,numpy,import numpy as np
/home/prayojaka/Desktop/meditation_gui_updated/depth/adjustment_test.py,Python,pyautogui,import pyautogui
/home/prayojaka/Desktop/meditation_gui_updated/depth/adjustment_test.py,Python,pyrealsense2,import pyrealsense2 as rs
/home/prayojaka/Desktop/meditation_gui_updated/depth/adjustment2.py,Python,opencv-python,import cv2
/home/prayojaka/Desktop/meditation_gui_updated/depth/adjustment2.py,Python,mediapipe,import mediapipe as mp
/home/prayojaka/Desktop/meditation_gui_updated/depth/adjustment2.py,Python,numpy,import numpy as np
/home/prayojaka/Desktop/meditation_gui_updated/depth/adjustment2.py,Python,pyautogui,import pyautogui
/home/prayojaka/Desktop/meditation_gui_updated/depth/adjustment2.py,Python,pyrealsense2,import pyrealsense2 as rs
/home/prayojaka/Desktop/meditation_gui_updated/depth/depth1.py,Python,pyrealsense2,import pyrealsense2 as rs
/home/prayojaka/Desktop/meditation_gui_updated/depth/depth1.py,Python,mediapipe,import mediapipe as mp
/home/prayojaka/Desktop/meditation_gui_updated/depth/depth1.py,Python,numpy,import numpy as np
/home/prayojaka/Desktop/meditation_gui_updated/depth/depth1.py,Python,opencv-python,import cv2
/home/prayojaka/Desktop/meditation_gui_updated/depth/splitFront1.py,Python,opencv-python,import cv2
/home/prayojaka/Desktop/meditation_gui_updated/depth/splitFront1.py,Python,mediapipe,import mediapipe as mp
/home/prayojaka/Desktop/meditation_gui_updated/depth/splitFront1.py,Python,numpy,import numpy as np
/home/prayojaka/Desktop/meditation_gui_updated/depth/depth2.py,Python,pyrealsense2,import pyrealsense2 as rs
/home/prayojaka/Desktop/meditation_gui_updated/depth/depth2.py,Python,mediapipe,import mediapipe as mp
/home/prayojaka/Desktop/meditation_gui_updated/depth/depth2.py,Python,numpy,import numpy as np
/home/prayojaka/Desktop/meditation_gui_updated/depth/depth2.py,Python,opencv-python,import cv2
/home/prayojaka/Desktop/meditation_gui_updated/depth/adjustment.py,Python,opencv-python,import cv2
/home/prayojaka/Desktop/meditation_gui_updated/depth/adjustment.py,Python,mediapipe,import mediapipe as mp
/home/prayojaka/Desktop/meditation_gui_updated/depth/adjustment.py,Python,numpy,import numpy as np
/home/prayojaka/Desktop/meditation_gui_updated/depth/adjustment.py,Python,pyautogui,import pyautogui
/home/prayojaka/Desktop/meditation_gui_updated/depth/adjustment.py,Python,pyrealsense2,import pyrealsense2 as rs
/home/prayojaka/Desktop/meditation_gui_updated/libuvc/src/ctrl-gen.py,Python,__future__,from __future__ import print_function
/home/prayojaka/Desktop/meditation_gui_updated/libuvc/src/ctrl-gen.py,Python,getopt,import getopt
/home/prayojaka/Desktop/meditation_gui_updated/libuvc/src/ctrl-gen.py,Python,PyYAML,import yaml
/home/prayojaka/Desktop/meditation_gui_updated/meditation_visualRohan/Radar_Animation.py,Python,pandas,import pandas as pd
/home/prayojaka/Desktop/meditation_gui_updated/meditation_visualRohan/Radar_Animation.py,Python,pandas,from pandas import read_csv;
/home/prayojaka/Desktop/meditation_gui_updated/meditation_visualRohan/Radar_Animation.py,Python,matplotlib,import matplotlib.pyplot as plt;
/home/prayojaka/Desktop/meditation_gui_updated/meditation_visualRohan/Radar_Animation.py,Python,matplotlib,from matplotlib.animation import FuncAnimation
/home/prayojaka/Desktop/meditation_gui_updated/meditation_visualRohan/Radar_Animation.py,Python,numpy,import numpy as np;
/home/prayojaka/Desktop/meditation_gui_updated/meditation_visualRohan/Radar_Analysis.py,Python,pandas,import pandas as pd
/home/prayojaka/Desktop/meditation_gui_updated/meditation_visualRohan/Radar_Analysis.py,Python,pandas,from pandas import read_csv;
/home/prayojaka/Desktop/meditation_gui_updated/meditation_visualRohan/Radar_Analysis.py,Python,matplotlib,import matplotlib.pyplot as plt;
/home/prayojaka/Desktop/meditation_gui_updated/meditation_visualRohan/Radar_Analysis.py,Python,scipy,from scipy import stats;
/home/prayojaka/Desktop/meditation_gui_updated/meditation_visualRohan/Radar_Analysis.py,Python,scipy,from scipy.optimize import curve_fit
/home/prayojaka/Desktop/meditation_gui_updated/meditation_visualRohan/Radar_Analysis.py,Python,numpy,import numpy as np;
/home/prayojaka/Desktop/meditation_gui_updated/meditation_visualRohan/Radar_Analysis.py,Python,scipy,from scipy import signal
/home/prayojaka/Desktop/meditation_gui_updated/meditation_visualRohan/Radar_Analysis.py,Python,scipy,from scipy.interpolate import interp1d
/home/prayojaka/Desktop/meditation_gui_updated/meditation_visualRohan/Radar_Analysis.py,Python,scipy,from scipy.fftpack import fft
/home/prayojaka/Desktop/meditation_gui_updated/meditation_visualRohan/Radar_Analysis.py,Python,scipy,from scipy.signal import find_peaks
/home/prayojaka/Desktop/meditation_gui_updated/meditation_visualRohan/Radar_Analysis.py,Python,scipy,from scipy.signal import savgol_filter
/home/prayojaka/Desktop/meditation_gui_updated/meditation_visualRohan/Radar_Analysis.py,Python,scikit-learn,from sklearn.decomposition import NMF
/home/prayojaka/Desktop/meditation_gui_updated/meditation_visualRohan/Radar_Analysis.py,Python,statistics,import statistics
/home/prayojaka/Desktop/meditation_gui_updated/meditation_visualRohan/Radar_Analysis.py,Python,pywt,import pywt
/home/prayojaka/Desktop/meditation_gui_updated/meditation_visualRohan/Radar_Analysis.py,Python,pdb,import pdb
/home/prayojaka/Desktop/meditation_gui_updated/meditation_visualRohan/Radar_Analysis.py,Python,numpy,from numpy.lib.stride_tricks import as_strided
